Team,team_id,abrev
The Citadel,307,CTDL
The Citadel,307,CTDL
Toledo,308,U of T
Towson,309,TOWS
Troy,310,TROY
Troy St.,310,TROY
Tulane,311,TULAN
Tulsa,312,TULSA
UAB,313,UAB
UC-Davis,314,UCD
UC Davis,314,UCD
UC-Irvine,315,UCI
UC Irvine,315,UCI
UC-Riverside,316,UCR
UC Riverside,316,UCR
UC San Diego,317,UCSD
UC Santa Barbara,318,UCSB
UCSB,318,UCSB
UCF,319,UCF
UCLA,320,UCLA
UMass Lowell,322,UML
UMBC,323,UMBC
UMKC,324,UMKC
UNC Asheville,325,UNCA
UNC Greensboro,326,UNCG
UNC Wilmington,327,UNCW
UNLV,328,UNLV
USC,329,USC
USC Upstate,330,USCU
UT Arlington,304,UTA
UT Rio Grande Valley,305,UTRGV
Texas-Rio Grande Valley,305,UTRGV
Utah,331,U of U
Utah St.,332,USU
Utah State,332,USU
Utah Tech,333,UTECH
Utah Valley,334,UVU
Utah Valley St.,334,UVU
UTEP,335,UTEP
UTSA,306,UTSA
Valparaiso,336,VAL
Vanderbilt,337,VANDY
VCU,338,VCU
Vermont,339,UVM
Villanova,340,VILL
Virginia,341,UVA
Virginia Military,342,VMI
Virginia Tech,343,VT
VMI,342,VMI
Wagner,344,WAGNR
Wake Forest,345,WF
Washington,346,UWASH
Washington St.,347,WSU
Washington State,347,WSU
Weber St.,348,WEBER
Weber State,348,WEBER
West Virginia,349,WVU
Western Carolina,350,WCU
Western Illinois,351,WIU
Western Kentucky,352,WKU
Western Michigan,353,WMY
Wichita St.,354,WICHI
Wichita State,354,WICHI
William & Mary,355,W&M
Winston-Salem,366,WSSU
Winston Salem St.,366,WSSU
Winston-Salem State,366,WSSU
Winthrop,356,WIN
Wisconsin,357,UWISC
Wofford,358,WOFF
Wright St.,359,WRST
Wright State,359,WRST
Wyoming,360,UWYOM
Xavier,361,XAV
Yale,362,YALE
Youngstown St.,363,YSU
Youngstown State,363,YSU
Kansas City,500,KC
Le Moyne,510,LM
Le Moyne,510,MOYNE
UConn,321,UConn
