Team,nickname,abbrev,conference,location,home_venue,season
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2024
Marquette,Golden Eagles,MARQ,Big East,"Milwaukee, WI",Fiserv Forum,2024
Marshall,Thundering Herd,MARSH,Sun Belt,"Huntington, WV",Cam Henderson Center,2024
Maryland,Terrapins,UMD,Big Ten,"College Park, MD",XFINITY Center,2024
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2024
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2024
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2024
Memphis,Tigers,MEMP,AAC,"Memphis, TN",FedExForum,2024
Mercer,Bears,MER,SoCon,"Macon, GA",Hawkins Arena,2024
Merrimack College,Warriors,MERRI,NEC,"North Andover, MA",Bert Hammel Court,2024
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2024
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2024
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2024
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2024
Middle Tennessee State,Blue Raiders,MTSU,C-USA,"Murfreesboro, TN",Murphy Center,2024
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2024
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2024
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2024
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2024
Missouri,Tigers,MZZOU,SEC,"Columbia, MO",Mizzou Arena,2024
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2024
Monmouth,Hawks,MONM,CAA,"West Long Branch, NJ",OceanFirst Bank Center,2024
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2024
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2024
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2024
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2024
Mount St. Mary's,Mountaineers,MSMU,MAAC,"Emmitsburg, MD",Knott Arena,2024
Murray State,Racers,MRRY,MVC,"Murray, KY",CFSB Center,2024
N.J.I.T.,Highlanders,NJIT,AM East,"Newark, NJ",NJIT Wellness and Events Center,2024
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2024
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2024
Nebraska,Cornhuskers,UNL,Big Ten,"Lincoln, NE",Pinnacle Bank Arena,2024
