Team,nickname,abbrev,conference,location,home_venue,season
Washington State,Cougars,WSU,Pac-12,"Pullman, WA",Friel Court at Beasley Coliseum,2007
Weber State,Wildcats,WEBER,Big Sky,"Ogden, UT",Dee Events Center,2007
West Virginia,Mountaineers,WVU,AAC,"Morgantown, WV",WVU Coliseum,2007
Western Carolina,Catamounts,WCU,SoCon,"Cullowhee, NC",Ramsey Regional Activity Center,2007
Western Illinois,Leathernecks,WIU,Summit,"Macomb, IL",LeRoy A. Ufkes Court at Western Hall,2007
Western Kentucky,Hilltoppers,WKU,Sun Belt,"Bowling Green, KY",E. A. Diddle Arena,2007
Western Michigan,Broncos,WMY,MAC,"Kalamazoo, MI",University Arena (MI),2007
Wichita State,Shockers,WICHI,MVC,"Wichita, KS",Charles Koch Arena,2007
William & Mary,Tribe,W&M,CAA,"Williamsburg, VA",Kaplan Arena,2007
Winston-Salem State,Rams,WSSU,INDEP,"Winston-Salem, NC",C.E. Gaines Center,2007
Winthrop,Eagles,WIN,Big South,"Rock Hill, SC",Winthrop Coliseum,2007
Wisconsin,Badgers,UWISC,Big Ten,"Madison, WI",Kohl Center,2007
Wofford,Terriers,WOFF,SoCon,"Spartanburg, SC",Jerry Richardson Indoor Stadium,2007
Wright State,Raiders,WRST,Horizon,"Dayton, OH",Nutter Center,2007
Wyoming,Cowboys,UWYOM,MWC,"Laramie, WY",Arena Auditorium,2007
Xavier,Musketeers,XAV,A-10,"Cincinnati, OH",Cintas Center,2007
Yale,Bulldogs,YALE,Ivy,"New Haven, CT",John J. Lee Amphitheater,2007
Youngstown State,Penguins,YSU,Horizon,"Youngstown, OH",Beeghly Center,2007
Air Force,Falcons,AF,MWC,"Colorado Springs, CO",Clune Arena,2006
Akron,Zips,AKR,MAC,"Akron, OH",James A. Rhodes Arena,2006
Alabama,Crimson Tide,UA,SEC,"Tuscaloosa, AL",Coleman Coliseum,2006
Alabama A&M,Bulldogs,AAMU,SWAC,"Huntsville, AL",Event Center,2006
Alabama State,Hornets,ALAST,SWAC,"Montgomery, AL",Dunn-Oliver Acadome,2006
Albany,Great Danes,ALBNY,AM East,"Albany, NY",Broadview Center,2006
Alcorn State,Braves,ALCST,SWAC,"Lorman, MS",Davey L. Whitney Complex,2006
American University,Eagles,AMERU,Patriot,"Washington, DC",Bender Arena,2006
Appalachian State,Mountaineers,APPST,SoCon,"Boone, NC",George M. Holmes Convocation Center,2006
Arizona,Wildcats,ARZ,Pac-12,"Tucson, AZ",McKale Center,2006
Arizona State,Sun Devils,ASU,Pac-12,"Tempe, AZ",Desert Financial Arena,2006
Arkansas,Razorbacks,ARK,SEC,"Fayetteville, AR",Bud Walton Arena,2006
Arkansas State,Red Wolves,ARKST,Sun Belt,"Jonesboro, AR",First National Bank Arena,2006
Arkansas-Pine Bluff,Golden Lions,UAPB,SWAC,"Pine Bluff, AR",H.O. Clemmons Arena,2006
Army West Point,Black Knights,USMA,Patriot,"West Point, NY",Christl Arena,2006
Auburn,Tigers,AUB,SEC,"Auburn, AL",Neville Arena,2006
Austin Peay,Governors,APSU,OVC,"Clarksville, TN",F&M Bank Arena,2006
Ball State,Cardinals,BLLST,MAC,"Muncie, IN",John E. Worthen Arena,2006
Baylor,Bears,BAYL,Big 12,"Waco, TX",Foster Pavilion,2006
Belmont,Bruins,BLMNT,A-Sun,"Nashville, TN",Curb Event Center Arena,2006
Bethune-Cookman,Wildcats,BTHCK,MEAC,"Daytona Beach, FL",Moore Gymnasium (FL),2006
Binghamton,Bearcats,BNGH,AM East,"Binghamton, NY",Events Center (Binghamton),2006
Birmingham-Southern,Panthers,BIRM,Big South,"Birmingham, AL",Bill Battle Coliseum,2006
Boise State,Broncos,BOISE,WAC,"Boise, ID",ExtraMile Arena,2006
Boston College,Eagles,BOS,ACC,"Chestnut Hill, MA",Silvio O. Conte Forum,2006
Boston University,Terriers,BSTN,AM East,"Boston, MA",Case Gym,2006
Bowling Green,Falcons,BGSU,MAC,"Bowling Green, OH",Stroh Center,2006
Bradley,Braves,BRDLY,MVC,"Peoria, IL",Carver Arena,2006
Brigham Young,Cougars,BYU,MWC,"Provo, UT",Marriott Center,2006
Brown,Bears,BRWN,Ivy,"Providence, RI",Pizzitola Sports Center,2006
Bucknell,Bison,BUCK,Patriot,"Lewisburg, PA",Sojka Pavilion,2006
Buffalo,Bulls,BUFF,MAC,"Buffalo, NY",Alumni Arena,2006
Butler,Bulldogs,BTLR,Horizon,"Indianapolis, IN",Hinkle Fieldhouse,2006
Cal Poly,Mustangs,POLY,Big West,"San Luis Obispo, CA",Robert A. Mott Athletics Center,2006
Cal State Fullerton,Titans,CSFUL,Big West,"Fullerton, CA",Titan Gym,2006
Cal State Northridge,Matadors,CSUN,Big West,"Northridge, CA",Premier America Credit Union Arena,2006
California,Golden Bears,Cal,Pac-12,"Berkeley, CA",Haas Pavilion,2006
Campbell,Fighting Camels,CAM,A-Sun,"Buies Creek, NC",John W. Pope Jr. Convocation Center,2006
Canisius,Golden Griffins,CAN,MAAC,"Buffalo, NY",Koessler Athletic Center,2006
Centenary,Gentlemen,CCL,Summit,"Shreveport, LA",Gold Dome,2006
Central Connecticut State,Blue Devils,CCSU,NEC,"New Britain, CT",William H. Detrick Gymnasium,2006
Central Michigan,Chippewas,CMU,MAC,"Mount Pleasant, MI",McGuirk Arena,2006
Charleston,Cougars,C of C,SoCon,"Charleston, SC",TD Arena,2006
Charleston Southern,Buccaneers,CHASO,Big South,"Charleston, SC",Buccaneer Fieldhouse,2006
Charlotte,49ers,CHAR,A-10,"Charlotte, NC",Dale F. Halton Arena,2006
Chattanooga,Mocs,CHATT,SoCon,"Chattanooga, TN",McKenzie Arena,2006
Chicago State,Cougars,CHIST,Summit,"Chicago, IL",Emil and Patricia Jones Convocation Center,2006
Cincinnati,Bearcats,CINCY,AAC,"Cincinnati, OH",Fifth Third Arena,2006
Clemson,Tigers,CLEM,ACC,"Clemson, SC",Littlejohn Coliseum,2006
Cleveland State,Vikings,CLEST,Horizon,"Cleveland, OH",Wolstein Center,2006
Coastal Carolina,Chanticleers,CCU,Big South,"Conway, SC",The HTC Center,2006
Colgate,Raiders,COLGT,Patriot,"Hamilton, NY",Cotterell Court,2006
Colorado,Buffaloes,COLO,Big 12,"Boulder, CO",CU Events Center,2006
Colorado State,Rams,COLST,MWC,"Fort Collins, CO",Moby Arena,2006
Columbia,Lions,COM,Ivy,"New York, NY",Francis S. Levien Gymnasium,2006
Coppin State,Eagles,COPST,MEAC,"Baltimore, MD",Physical Education Complex,2006
Cornell,Big Red,COR,Ivy,"Ithaca, NY",Newman Arena,2006
Creighton,Bluejays,CREI,MVC,"Omaha, NE",CHI Health Center Omaha,2006
Dartmouth,Big Green,DART,Ivy,"Hanover, NH",Edward Leede Arena,2006
Davidson,Wildcats,DAV,SoCon,"Davidson, NC",John M. Belk Arena,2006
Dayton,Flyers,DAY,A-10,"Dayton, OH",UD Arena,2006
Delaware,Fightin Blue Hens,DEL,CAA,"Newark, DE",Bob Carpenter Center,2006
Delaware State,Hornets,DESU,MEAC,"Dover, DE","Memorial Hall (Dover, DE)",2006
Denver,Pioneers,DEN,Sun Belt,"Denver, CO",Hamilton Gymnasium,2006
DePaul,Blue Demons,DEP,AAC,"Chicago, IL",Wintrust Arena,2006
Detroit-Mercy,Titans,UDM,Horizon,"Detroit, MI",Calihan Hall,2006
Drake,Bulldogs,DRAKE,MVC,"Des Moines, IA",The Knapp Center,2006
Drexel,Dragons,DREX,CAA,"Philadelphia, PA",Daskalakis Athletic Center,2006
Duke,Blue Devils,DUKE,ACC,"Durham, NC",Cameron Indoor Stadium,2006
Duquesne,Dukes,DUQ,A-10,"Pittsburgh, PA",UPMC Cooper Fieldhouse,2006
East Carolina,Pirates,ECAR,C-USA,"Greenville, NC",Williams Arena at Minges Coliseum,2006
East Tennessee State,Buccaneers,ETSU,A-Sun,"Johnson City, TN",Freedom Hall Civic Center,2006
Eastern Illinois,Panthers,EIU,OVC,"Charleston, IL",Lantz Arena,2006
Eastern Kentucky,Colonels,EKU,OVC,"Richmond, KY",Baptist Health Arena,2006
Eastern Michigan,Eagles,EMICH,MAC,"Ypsilanti, MI",George Gervin GameAbove Center,2006
Eastern Washington,Eagles,EWASH,Big Sky,"Cheney, WA",Reese Court,2006
Elon,Phoenix,ELON,SoCon,"Elon, NC",Schar Center,2006
Evansville,Purple Aces,UE,MVC,"Evansville, IN",Ford Center,2006
Fairfield,Stags,FAIR,MAAC,"Fairfield, CT",Leo D. Mahoney Arena,2006
Fairleigh Dickinson,Knights,FDU,NEC,"Hackensack, NJ",Bogota Savings Bank Center,2006
Florida,Gators,FLA,SEC,"Gainesville, FL",Exactech Arena at the Stephen C. O'Connell Center,2006
Florida A&M,Rattlers,FAMU,MEAC,"Tallahassee, FL",Al Lawson Center,2006
Florida Atlantic,Owls,FAU,A-Sun,"Boca Raton, FL",Eleanor R. Baldwin Arena,2006
Florida International,Golden Panthers,FIU,Sun Belt,"Miami, FL",Ocean Bank Convocation Center,2006
Florida State,Seminoles,FLAST,ACC,"Tallahassee, FL",Donald L. Tucker Center,2006
Fordham,Rams,FORD,A-10,"Bronx, NY",Rose Hill Gymnasium,2006
Fort Wayne,Mastodons,IPFW,INDEP,"Fort Wayne, IN",Allen County War Memorial Coliseum,2006
Fresno State,Bulldogs,FRSNO,WAC,"Fresno, CA",Save Mart Center,2006
Furman,Paladins,FRMN,SoCon,"Greenville, SC",Timmons Arena,2006
Gardner-Webb,Runnin' Bulldogs,GWU,A-Sun,"Boiling Springs, NC",Paul Porter Arena,2006
George Mason,Patriots,GMU,CAA,"Fairfax, VA",EagleBank Arena,2006
George Washington,Revolutionaries,GW,A-10,"Washington, DC",Charles E. Smith Center,2006
Georgetown,Hoyas,GTOWN,AAC,"Washington, DC",Capital One Arena,2006
Georgia,Bulldogs,UGA,SEC,"Athens, GA",Stegeman Coliseum,2006
Georgia Southern,Eagles,GASO,SoCon,"Statesboro, GA",W.S. Hanner Fieldhouse,2006
Georgia State,Panthers,GAST,CAA,"Atlanta, GA",GSU Convocation Center,2006
Georgia Tech,Yellow Jackets,GT,ACC,"Atlanta, GA",McCamish Pavilion,2006
Gonzaga,Bulldogs,ZAGS,WCC,"Spokane, WA",McCarthey Athletic Center,2006
Grambling State,Tigers,GRAMB,SWAC,"Grambling, LA",Fredrick C. Hobdy Assembly Center,2006
Green Bay,Phoenix,UWGB,Horizon,"Ashwaubenon, WI",Resch Center,2006
Hampton,Pirates,HMPTN,MEAC,"Hampton, VA",Convocation Center (VA),2006
Hartford,Hawks,UHA,AM East,"Hartford, CT",Chase Arena,2006
Harvard,Crimson,HAR,Ivy,"Cambridge, MA",Lavietes Pavilion,2006
Hawaii,Rainbow Warriors,HAW,WAC,"Honolulu, HI",Stan Sheriff Center,2006
High Point,Panthers,HP,Big South,"High Point, NC",Nido and Mariana Qubein Arena,2006
Hofstra,Pride,HOF,CAA,"Hempstead, NY",David S. Mack Sports and Exhibition Complex,2006
Holy Cross,Crusaders,HC,Patriot,"Worcester, MA",Hart Center,2006
Houston,Cougars,U of H,C-USA,"Houston, TX",Fertitta Center,2006
Howard,Bison,HWRD,MEAC,"Washington, DC",Burr Gymnasium,2006
Idaho,Vandals,IDAHO,WAC,"Moscow, ID",ICCU Arena,2006
Idaho State,Bengals,IDHST,Big Sky,"Pocatello, ID",Holt Arena,2006
Illinois,Fighting Illini,ILL,Big Ten,"Champaign, IL",State Farm Center,2006
Illinois State,Redbirds,ILLST,MVC,"Normal, IL",CEFCU Arena,2006
Illinois-Chicago,Flames,UIC,Horizon,"Chicago, IL",Credit Union 1 Arena,2006
Indiana,Hoosiers,IU,Big Ten,"Bloomington, IN",Simon Skjodt Assembly Hall,2006
Indiana State,Sycamores,INDST,MVC,"Terre Haute, IN",Hulman Center,2006
Iona,Gaels,IONA,MAAC,"New Rochelle, NY",Hynes Athletics Center,2006
Iowa,Hawkeyes,IOWA,Big Ten,"Iowa City, IA",Carver-Hawkeye Arena,2006
Iowa State,Cyclones,IWAST,Big 12,"Ames, IA",James H. Hilton Coliseum,2006
IUPUI,Jaguars,IUPUI,Summit,"Indianapolis, IN",Indiana Farmers Coliseum,2006
Jackson State,Tigers,JKSN,SWAC,"Jackson, MS",Lee E. Williams Athletic and Assembly Center,2006
Jacksonville,Dolphins,JAC,A-Sun,"Jacksonville, FL",Swisher Gymnasium,2006
Jacksonville State,Gamecocks,JKSNV,OVC,"Jacksonville, AL",Pete Mathews Coliseum,2006
James Madison,Dukes,JMU,CAA,"Harrisonburg, VA",Atlantic Union Bank Center,2006
Kansas,Jayhawks,KU,Big 12,"Lawrence, KS",Phog Allen Fieldhouse,2006
Kansas State,Wildcats,KSU,Big 12,"Manhattan, KS",Bramlage Coliseum,2006
Kennesaw State,Owls,KENN,A-Sun,"Kennesaw, GA",KSU Convocation Center,2006
Kent State,Golden Flashes,KENT,MAC,"Kent, OH",M.A.C. Center,2006
Kentucky,Wildcats,UK,SEC,"Lexington, KY",Rupp Arena,2006
La Salle,Explorers,LASAL,A-10,"Philadelphia, PA",Tom Gola Arena,2006
Lafayette,Leopards,LAFAY,Patriot,"Easton, PA",Kirby Sports Center,2006
Lamar,Cardinals,LAMAR,Southland,"Beaumont, TX",Montagne Center,2006
Lehigh,Mountain Hawks,LEHI,Patriot,"Bethlehem, PA",Stabler Arena,2006
Liberty,Flames,LBRTY,Big South,"Lynchburg, VA",Liberty Arena,2006
Lipscomb,Bisons,LIP,A-Sun,"Nashville, TN",Allen Arena,2006
Little Rock,Trojans,UALR,Sun Belt,"Little Rock, AR",Jack Stephens Center,2006
Long Beach State,Beach,LBSU,Big West,"Long Beach, CA",Walter Pyramid,2006
Long Island,Sharks,LIU,NEC,"Brooklyn, NY",Steinberg Wellness Center,2006
Longwood,Lancers,LONG,INDEP,"Farmville, VA",Joan Perry Brock Center,2006
Louisiana,Ragin' Cajuns,LA,Sun Belt,"Lafayette, LA",Cajundome,2006
Louisiana Tech,Bulldogs,LATCH,WAC,"Ruston, LA",Thomas Assembly Center,2006
Louisiana-Monroe,Warhawks,ULM,Southland,"Monroe, LA",Fant-Ewing Coliseum,2006
Louisville,Cardinals,LVILL,AAC,"Louisville, KY",KFC Yum! Center,2006
Loyola (IL),Ramblers,L-IL,Horizon,"Chicago, IL",Joseph J. Gentile Arena,2006
Loyola (MD),Greyhounds,L-MD,MAAC,"Baltimore, MD",Reitz Arena,2006
Loyola Marymount,Lions,LOYMR,WCC,"Los Angeles, CA",Gersten Pavilion,2006
LSU,Tigers,LSU,SEC,"Baton Rouge, LA",Pete Maravich Assembly Center,2006
Maine,Black Bears,MAINE,AM East,"Bangor, ME",Cross Insurance Center,2006
Manhattan,Jaspers,MAN,MAAC,"Riverdale, NY",Draddy Gymnasium,2006
Marist,Red Foxes,MRST,MAAC,"Poughkeepsie, NY",McCann Arena,2006
Marquette,Golden Eagles,MARQ,AAC,"Milwaukee, WI",Fiserv Forum,2006
Marshall,Thundering Herd,MARSH,C-USA,"Huntington, WV",Cam Henderson Center,2006
Maryland,Terrapins,UMD,ACC,"College Park, MD",XFINITY Center,2006
Maryland-Eastern Shore,Hawks,UMES,MEAC,"Princess Anne, MD",Hytche Athletic Center,2006
Massachusetts,Minutemen,UMass,A-10,"Amherst, MA",William D. Mullins Memorial Center,2006
McNeese State,Cowboys,MCNST,Southland,"Lake Charles, LA",Legacy Center,2006
Memphis,Tigers,MEMP,C-USA,"Memphis, TN",FedExForum,2006
Mercer,Bears,MER,A-Sun,"Macon, GA",Hawkins Arena,2006
Miami (FL),Hurricanes,UMFL,ACC,"Coral Gables, FL",Watsco Center,2006
Miami (OH),RedHawks,MIAMI,MAC,"Oxford, OH",Millett Hall,2006
Michigan,Wolverines,MICH,Big Ten,"Ann Arbor, MI",Crisler Center,2006
Michigan State,Spartans,MCHST,Big Ten,"East Lansing, MI",Breslin Center,2006
Middle Tennessee State,Blue Raiders,MTSU,Sun Belt,"Murfreesboro, TN",Murphy Center,2006
Milwaukee,Panthers,UWM,Horizon,"Milwaukee, WI",UW-Milwaukee Panther Arena,2006
Minnesota,Golden Gophers,MINN,Big Ten,"Minneapolis, MN",Williams Arena,2006
Mississippi State,Bulldogs,MISST,SEC,"Starkville, MS",Humphrey Coliseum,2006
Mississippi Valley State,Delta Devils,MVSU,SWAC,"Itta Bena, MS",Robert W. Harrison HPER Complex,2006
Missouri,Tigers,MZZOU,Big 12,"Columbia, MO",Mizzou Arena,2006
Missouri State,Bears,MZZST,MVC,"Springfield, MO",Great Southern Bank Arena,2006
Monmouth,Hawks,MONM,NEC,"West Long Branch, NJ",OceanFirst Bank Center,2006
Montana,Grizzlies,MONT,Big Sky,"Missoula, MT",Dahlberg Arena,2006
Montana State,Fighting Bobcats,MTSTU,Big Sky,"Bozeman, MT",Worthington Arena,2006
Morehead State,Eagles,MRHD,OVC,"Morehead, KY",Ellis T. Johnson Arena,2006
Morgan State,Bears,MORST,MEAC,"Baltimore, MD",Talmadge L. Hill Field House,2006
Mount St. Mary's,Mountaineers,MSMU,NEC,"Emmitsburg, MD",Knott Arena,2006
Murray State,Racers,MRRY,OVC,"Murray, KY",CFSB Center,2006
Navy,Midshipmen,USNA,Patriot,"Annapolis, MD",Alumni Hall (Navy),2006
NC State,Wolfpack,NCST,ACC,"Raleigh, NC",PNC Arena,2006
Nebraska,Cornhuskers,UNL,Big 12,"Lincoln, NE",Pinnacle Bank Arena,2006
Nevada,Wolf Pack,UNR,WAC,"Reno, NV",Lawlor Events Center,2006
New Hampshire,Wildcats,NEWHA,AM East,"Durham, NH",Lundholm Gymnasium,2006
New Mexico,Lobos,UNM,MWC,"Albuquerque, NM",The Pit,2006
New Mexico State,Aggies,NMSU,WAC,"Las Cruces, NM",Pan American Center,2006
New Orleans,Privateers,NEWOR,Sun Belt,"New Orleans, LA",Lakefront Arena,2006
Niagara,Purple Eagles,NIAG,MAAC,"Niagara Falls, NY",Gallagher Center,2006
Nicholls State,Colonels,NICH,Southland,"Thibodaux, LA",David R. Stopher Gymnasium,2006
Norfolk State,Spartans,NORF,MEAC,"Norfolk, VA",Joseph G. Echols Hall,2006
North Carolina,Tar Heels,UNC,ACC,"Chapel Hill, NC",Dean E. Smith Center,2006
North Carolina A&T,Aggies,NC A&T,MEAC,"Greensboro, NC",Corbett Sports Center,2006
North Florida,Ospreys,UNF,A-Sun,"Jacksonville, FL",UNF Arena,2006
North Texas,Mean Green,UNT,Sun Belt,"Denton, TX",The Super Pit,2006
Northeastern,Huskies,NEU,CAA,"Boston, MA",Matthews Arena,2006
Northern Arizona,Lumberjacks,NAU,Big Sky,"Flagstaff, AZ",J. Lawrence Walkup Skydome,2006
Northern Illinois,Huskies,NIU,MAC,"DeKalb, IL",NIU Convocation Center,2006
Northern Iowa,Panthers,UNI,MVC,"Cedar Falls, IA",McLeod Center,2006
Northwestern,Wildcats,NWU,Big Ten,"Evanston, IL",Welsh-Ryan Arena,2006
Northwestern State,Demons,NSU,Southland,"Natchitoches, LA",Prather Coliseum,2006
Notre Dame,Fighting Irish,ND,AAC,"South Bend, IN",Purcell Pavilion,2006
Oakland,Golden Grizzlies,OAKL,Summit,"Rochester, MI",OU Credit Union O'rena,2006
Ohio,Bobcats,OHIO,MAC,"Athens, OH",Convocation Center (OH),2006
Ohio State,Buckeyes,OSU,Big Ten,"Columbus, OH",Value City Arena,2006
Oklahoma,Sooners,OKLA,Big 12,"Norman, OK",Lloyd Noble Center,2006
Oklahoma State,Cowboys,OKST,Big 12,"Stillwater, OK",Gallagher-Iba Arena,2006
Old Dominion,Monarchs,ODU,CAA,"Norfolk, VA",Chartway Arena,2006
Ole Miss,Rebels,MISS,SEC,"Oxford, MS",The Sandy and John Black Pavilion at Ole Miss,2006
Oral Roberts,Golden Eagles,ORU,Summit,"Tulsa, OK",Mabee Center,2006
Oregon,Ducks,OREG,Pac-12,"Eugene, OR",Matthew Knight Arena,2006
Oregon State,Beavers,ORST,Pac-12,"Corvallis, OR",Gill Coliseum,2006
Pacific,Tigers,PACI,Big West,"Stockton, CA",Alex G. Spanos Center,2006
Penn State,Nittany Lions,PENST,Big Ten,"University Park, PA",Bryce Jordan Center,2006
Pennsylvania,Quakers,PENN,Ivy,"Philadelphia, PA",The Palestra,2006
Pepperdine,Waves,PEPP,WCC,"Malibu, CA",Firestone Fieldhouse,2006
Pittsburgh,Panthers,PITT,AAC,"Pittsburgh, PA",Petersen Events Center,2006
Portland,Pilots,UP,WCC,"Portland, OR",Chiles Center,2006
Portland State,Vikings,PORTL,Big Sky,"Portland, OR",Viking Pavilion,2006
Prairie View A&M,Panthers,PVAMU,SWAC,"Prairie View, TX",William Nicks Building,2006
Princeton,Tigers,PRIN,Ivy,"Princeton, NJ",Jadwin Gymnasium,2006
Providence,Friars,PROV,AAC,"Providence, RI",Amica Mutual Pavilion,2006
Purdue,Boilermakers,PURD,Big Ten,"West Lafayette, IN",Mackey Arena,2006
Quinnipiac,Bobcats,QUIN,NEC,"Hamden, CT",M&T Bank Arena,2006
Radford,Highlanders,RADF,Big South,"Radford, VA",Donald N. Dedmon Center,2006
Rhode Island,Rams,URI,A-10,"Kingston, RI",Ryan Center,2006
Rice,Owls,RICE,C-USA,"Houston, TX",Tudor Fieldhouse,2006
Richmond,Spiders,RICH,A-10,"Richmond, VA",Robins Center,2006
Rider,Broncs,RIDER,MAAC,"Lawrenceville, NJ",Alumni Gymnasium (Rider),2006
Robert Morris,Colonials,RMU,NEC,"Moon Township, PA",UPMC Events Center,2006
Rutgers,Scarlet Knights,RUTG,AAC,"Piscataway, NJ",Jersey Mike's Arena,2006
Sacramento State,Hornets,CSUS,Big Sky,"Sacramento, CA",The Nest,2006
Sacred Heart,Pioneers,HEART,NEC,"Fairfield, CT",William H. Pitt Center,2006
Saint Joseph's,Hawks,STJOE,A-10,"Philadelphia, PA",Michael J. Hagan '85 Arena,2006
Saint Louis,Billikens,STLOU,A-10,"St. Louis, MO",Chaifetz Arena,2006
Saint Mary's,Gaels,STMRY,WCC,"Moraga, CA",University Credit Union Pavilion,2006
Saint Peter's,Peacocks,STPC,MAAC,"Jersey City, NJ",Run Baby Run Arena,2006
Sam Houston State,Bearkats,SHSU,Southland,"Huntsville, TX",Bernard G. Johnson Coliseum,2006
Samford,Bulldogs,SAMF,OVC,"Homewood, AL",Pete Hanna Center,2006
San Diego,Toreros,SAND,WCC,"San Diego, CA",Jenny Craig Pavilion,2006
San Diego State,Aztecs,SDSU,MWC,"San Diego, CA",Viejas Arena,2006
San Francisco,Dons,SANFR,WCC,"San Francisco, CA",War Memorial at the Sobrato Center,2006
San Jose State,Spartans,SJSU,WAC,"San Jose, CA",Provident Credit Union Event Center,2006
Santa Clara,Broncos,SCU,WCC,"Santa Clara, CA",Leavey Center,2006
Savannah State,Tigers,SST,INDEP,"Savannah, GA",Tiger Arena,2006
Seton Hall,Pirates,SETON,AAC,"Newark, NJ",Prudential Center,2006
Siena,Saints,SIENA,MAAC,"Albany, NY",MVP Arena,2006
South Alabama,Jaguars,USA,Sun Belt,"Mobile, AL",Mitchell Center,2006
South Carolina,Gamecocks,SOCAR,SEC,"Columbia, SC",Colonial Life Arena,2006
South Carolina State,Bulldogs,SCSU,MEAC,"Orangeburg, SC",Smith-Hammond-Middleton Memorial Center,2006
South Florida,Bulls,USOFL,AAC,"Tampa, FL",Yuengling Center,2006
Southeast Missouri State,Redhawks,SEMO,OVC,"Cape Girardeau, MO",Show Me Center,2006
Southeastern Louisiana,Lions,SELU,Southland,"Hammond, LA",University Center (LA),2006
Southern,Jaguars,SUBR,SWAC,"Baton Rouge, LA",F.G. Clark Activity Center,2006
Southern Illinois,Salukis,SOILL,MVC,"Carbondale, IL",Banterra Center,2006
Southern Methodist,Mustangs,SMU,C-USA,"Dallas, TX",Moody Coliseum,2006
Southern Mississippi,Golden Eagles,SOMIS,C-USA,"Hattiesburg, MS",Reed Green Coliseum,2006
Southern Utah,Thunderbirds,SUU,Summit,"Cedar City, UT",America First Events Center,2006
St. Bonaventure,Bonnies,STBN,A-10,"Saint Bonaventure, NY",Reilly Center,2006
St. Francis (NY),Terriers,SFC,NEC,"Brooklyn, NY",Pope Physical Education Center,2006
St. Francis (PA),Red Flash,STFPA,NEC,"Loretto, PA",DeGol Arena,2006
St. John's,Red Storm,STJ,AAC,"Queens, NY",Carnesecca Arena,2006
Stanford,Cardinal,STAN,Pac-12,"Stanford, CA",Maples Pavilion,2006
Stephen F. Austin,Lumberjacks,SFA,Southland,"Nacogdoches, TX",William R. Johnson Coliseum,2006
Stetson,Hatters,STET,A-Sun,"DeLand, FL",Edmunds Center,2006
Stony Brook,Seawolves,SB,AM East,"Stony Brook, NY",Island FCU Arena,2006
Syracuse,Orange,SYRA,AAC,"Syracuse, NY",JMA Wireless Dome,2006
TCU,Horned Frogs,TCU,MWC,"Fort Worth, TX",Ed and Rae Schollmaier Arena,2006
Temple,Owls,TEM,A-10,"Philadelphia, PA",Liacouras Center,2006
Tennessee,Volunteers,TENN,SEC,"Knoxville, TN",Thompson-Boling Arena,2006
Tennessee State,Tigers,TNST,OVC,"Nashville, TN",Gentry Center,2006
Tennessee Tech,Golden Eagles,TNTCH,OVC,"Cookeville, TN",Hooper Eblen Center,2006
Tennessee-Martin,Skyhawks,UTM,OVC,"Martin, TN",Kathleen and Tom Elam Center,2006
Texas,Longhorns,TEXAS,Big 12,"Austin, TX",Moody Center,2006
Texas A&M,Aggies,TAMU,Big 12,"College Station, TX",Reed Arena,2006
Texas A&M-CC,Islanders,TAMU-CC,INDEP,"Corpus Christi, TX",American Bank Center,2006
Texas Southern,Tigers,TEXSO,SWAC,"Houston, TX",H&PE Arena,2006
Texas State,Bobcats,TXST,Southland,"San Marcos, TX",Strahan Arena at the University Events Center,2006
Texas Tech,Red Raiders,TXTCH,Big 12,"Lubbock, TX",United Supermarkets Arena,2006
Texas-Arlington,Mavericks,UTA,Southland,"Arlington, TX",College Park Center,2006
Texas-RGV,Vaqueros,UTRGV,INDEP,"Edinburg, TX",UTRGV Fieldhouse,2006
Texas-San Antonio,Roadrunners,UTSA,Southland,"San Antonio, TX",UTSA Convocation Center,2006
The Citadel,Bulldogs,CTDL,SoCon,"Charleston, SC",McAlister Field House,2006
Toledo,Rockets,U of T,MAC,"Toledo, OH",Savage Arena,2006
Towson,Tigers,TOWS,CAA,"Towson, MD",SECU Arena,2006
Troy,Trojans,TROY,Sun Belt,"Troy, AL",Trojan Arena,2006
Tulane,Green Wave,TULAN,C-USA,"New Orleans, LA",Avron B. Fogelman Arena in the Devlin Fieldhouse,2006
Tulsa,Golden Hurricane,TULSA,C-USA,"Tulsa, OK",Donald W. Reynolds Center,2006
UAB,Blazers,UAB,C-USA,"Birmingham, AL",Bartow Arena,2006
UC Davis,Aggies,UCD,INDEP,"Davis, CA",University Credit Union Center,2006
UC Irvine,Anteaters,UCI,Big West,"Irvine, CA",Bren Events Center,2006
UC Riverside,Highlanders,UCR,Big West,"Riverside, CA",SRC Arena,2006
UC Santa Barbara,Gauchos,UCSB,Big West,"Santa Barbara, CA",The Thunderdome,2006
UCF,Knights,UCF,C-USA,"Orlando, FL",Addition Financial Arena,2006
UCLA,Bruins,UCLA,Pac-12,"Los Angeles, CA",Pauley Pavilion,2006
UConn,Huskies,UConn,AAC,"Storrs, CT",Harry A. Gampel Pavilion,2006
UMBC,Retrievers,UMBC,AM East,"Baltimore, MD",Chesapeake Employers Insurance Arena,2006
UMKC,Kangaroos,UMKC,Summit,"Kansas City, MO",Swinney Recreation Center,2006
UNC Asheville,Bulldogs,UNCA,Big South,"Asheville, NC",Kimmel Arena,2006
UNC Greensboro,Spartans,UNCG,SoCon,"Greensboro, NC",Greensboro Coliseum Fieldhouse,2006
